age_years,lambda_adkm,lambda_nint,z_adkm,z_nint
55.29566961819761,-1.4109426,-1.448374,-0.48509413520648265,-0.48509413520648265
55.504568358299494,-1.413214,-1.448374,-0.4724907441651848,-0.4724907441651848
55.71346709840137,-1.4154853,-1.448374,-0.4598873531238878,-0.4598873531238878
55.922365838503254,-1.4177567,-1.448374,-0.4472839620825899,-0.4472839620825899
56.13126457860514,-1.4200281,-1.448374,-0.4346805710412921,-0.4346805710412921
56.34016331870701,-1.4222995,-1.448374,-0.4220771799999951,-0.4220771799999951
56.5490620588089,-1.4245709,-1.448374,-0.40947378895869724,-0.40947378895869724
56.75796079891077,-1.4268423,-1.448374,-0.39687039791740025,-0.39687039791740025
56.96685953901266,-1.4291137,-1.448374,-0.38426700687610243,-0.38426700687610243
57.17575827911453,-1.4313852,-1.448374,-0.37166361583480545,-0.37166361583480545
57.38465701921642,-1.4336566,-1.448374,-0.3590602247935076,-0.3590602247935076
57.59355575931829,-1.435928,-1.448374,-0.3464568337522106,-0.3464568337522106
57.80245449942018,-1.4381994,-1.448374,-0.3338534427109128,-0.3338534427109128
58.01135323952205,-1.4404708,-1.448374,-0.3212500516696158,-0.3212500516696158
58.22025197962394,-1.4427422,-1.448374,-0.3086466606283179,-0.3086466606283179
58.42915071972581,-1.4450135,-1.448374,-0.29604326958702093,-0.29604326958702093
58.6380494598277,-1.447285,-1.448374,-0.28343987854572306,-0.28343987854572306
58.84694819992957,-1.4495564,-1.448374,-0.27083648750442607,-0.27083648750442607
59.05584694003146,-1.4518278,-1.448374,-0.25823309646312825,-0.25823309646312825
59.264745680133345,-1.4540992,-1.448374,-0.2456297054218304,-0.2456297054218304
59.47364442023522,-1.4563706,-1.448374,-0.23302631438053342,-0.23302631438053342
59.682543160337104,-1.458642,-1.448374,-0.22042292333923558,-0.22042292333923558
59.89144190043898,-1.4609134,-1.448374,-0.20781953229793856,-0.20781953229793856
60.100340640540864,-1.4631848,-1.448374,-0.19521614125664072,-0.19521614125664072
60.30923938064274,-1.4654562,-1.448374,-0.18261275021534373,-0.18261275021534373
60.518138120744624,-1.4677277,-1.448374,-0.1700093591740459,-0.1700093591740459
60.727036860846496,-1.4699991,-1.448374,-0.1574059681327489,-0.1574059681327489
60.93593560094838,-1.4722705,-1.448374,-0.14480257709145106,-0.14480257709145106
61.144834341050256,-1.4745419,-1.448374,-0.13219918605015407,-0.13219918605015407
61.35373308115214,-1.4768133,-1.448374,-0.11959579500885623,-0.11959579500885623
61.562631821254016,-1.4790847,-1.448374,-0.10699240396755924,-0.10699240396755924
61.7715305613559,-1.4813561,-1.448374,-0.09438901292626138,-0.09438901292626138
61.980429301457775,-1.4836276,-1.448374,-0.0817856218849644,-0.0817856218849644
62.18932804155966,-1.4858989,-1.448374,-0.06918223084366655,-0.06918223084366655
62.39822678166155,-1.4881704,-1.448374,-0.056578839802368705,-0.056578839802368705
62.60712552176342,-1.4904417,-1.448374,-0.04397544876107172,-0.04397544876107172
62.81602426186531,-1.4927131,-1.448374,-0.031372057719773874,-0.031372057719773874
63.02492300196718,-1.4949845,-1.448374,-0.018768666678476882,-0.018768666678476882
63.23382174206907,-1.4972559,-1.448374,-0.006165275637179036,-0.006165275637179036
63.44272048217094,-1.4995273,-1.448374,0.006438115404117953,0.006438115404117953
63.65161922227283,-1.5017987,-1.448374,0.019041506445415798,0.019041506445415798
63.8605179623747,-1.5040702,-1.448374,0.031644897486712786,0.031644897486712786
64.06941670247659,-1.5063416,-1.448374,0.04424828852801063,0.04424828852801063
64.27831544257846,-1.508613,-1.448374,0.056851679569307624,0.056851679569307624
64.48721418268035,-1.5108844,-1.448374,0.06945507061060548,0.06945507061060548
64.69611292278222,-1.5131558,-1.448374,0.08205846165190246,0.08205846165190246
64.9050116628841,-1.5154272,-1.448374,0.09466185269320031,0.09466185269320031
65.11391040298598,-1.5176985,-1.448374,0.10726524373449729,0.10726524373449729
65.32280914308787,-1.51997,-1.448374,0.11986863477579514,0.11986863477579514
65.53170788318975,-1.5222415,-1.448374,0.132472025817093,0.132472025817093
65.74060662329163,-1.5245129,-1.448374,0.14507541685838998,0.14507541685838998
65.94950536339351,-1.5267843,-1.448374,0.15767880789968783,0.15767880789968783
66.15840410349539,-1.5290556,-1.448374,0.1702821989409848,0.1702821989409848
66.36730284359727,-1.531327,-1.448374,0.18288558998228266,0.18288558998228266
66.57620158369915,-1.5335984,-1.448374,0.19548898102357964,0.19548898102357964
66.78510032380103,-1.53587,-1.448374,0.2080923720648775,0.2080923720648775
66.9939990639029,-1.5381413,-1.448374,0.22069576310617448,0.22069576310617448
67.20289780400479,-1.5404127,-1.448374,0.23329915414747232,0.23329915414747232
67.41179654410666,-1.5426841,-1.448374,0.2459025451887693,0.2459025451887693
67.62069528420855,-1.5449555,-1.448374,0.2585059362300672,0.2585059362300672
67.82959402431042,-1.5472269,-1.448374,0.27110932727136416,0.27110932727136416
68.03849276441231,-1.5494983,-1.448374,0.283712718312662,0.283712718312662
68.24739150451418,-1.5517697,-1.448374,0.29631610935395897,0.29631610935395897
68.45629024461607,-1.5540411,-1.448374,0.30891950039525684,0.30891950039525684
68.66518898471796,-1.5563126,-1.448374,0.32152289143655466,0.32152289143655466
68.87408772481983,-1.5585839,-1.448374,0.33412628247785164,0.33412628247785164
69.08298646492172,-1.5608554,-1.448374,0.3467296735191495,0.3467296735191495
69.29188520502359,-1.5631268,-1.448374,0.3593330645604465,0.3593330645604465
69.50078394512548,-1.5653982,-1.448374,0.3719364556017444,0.3719364556017444
69.70968268522735,-1.5676696,-1.448374,0.38453984664304136,0.38453984664304136
69.91858142532924,-1.5699409,-1.448374,0.3971432376843392,0.3971432376843392
70.12748016543111,-1.5722123,-1.448374,0.40974662872563616,0.40974662872563616
70.336378905533,-1.5744838,-1.448374,0.42235001976693404,0.42235001976693404
70.54527764563487,-1.5767553,-1.448374,0.434953410808231,0.434953410808231
70.75417638573676,-1.5790266,-1.448374,0.44755680184952884,0.44755680184952884
70.96307512583863,-1.581298,-1.448374,0.4601601928908258,0.4601601928908258
71.17197386594052,-1.5835694,-1.448374,0.4727635839321237,0.4727635839321237
71.38087260604239,-1.5858408,-1.448374,0.4853669749734207,0.4853669749734207
71.58977134614427,-1.5881122,-1.448374,0.4979703660147185,0.4979703660147185
71.79867008624616,-1.5903836,-1.448374,0.5105737570560164,0.5105737570560164
72.00756882634803,-1.5926551,-1.448374,0.5231771480973134,0.5231771480973134
72.21646756644992,-1.5949265,-1.448374,0.5357805391386112,0.5357805391386112
72.4253663065518,-1.5971979,-1.448374,0.5483839301799082,0.5483839301799082
72.63426504665368,-1.5994692,-1.448374,0.5609873212212061,0.5609873212212061
72.84316378675555,-1.6017406,-1.448374,0.573590712262503,0.573590712262503
73.05206252685744,-1.6040121,-1.448374,0.5861941033038008,0.5861941033038008
73.26096126695931,-1.6062835,-1.448374,0.5987974943450979,0.5987974943450979
73.4698600070612,-1.6085548,-1.448374,0.6114008853863957,0.6114008853863957
73.67875874716307,-1.6108263,-1.448374,0.6240042764276927,0.6240042764276927
73.88765748726496,-1.6130977,-1.448374,0.6366076674689906,0.6366076674689906
74.09655622736683,-1.6153691,-1.448374,0.6492110585102875,0.6492110585102875
74.30545496746872,-1.6176405,-1.448374,0.6618144495515854,0.6618144495515854
74.51435370757059,-1.6199119,-1.448374,0.6744178405928823,0.6744178405928823
74.72325244767248,-1.6221833,-1.448374,0.6870212316341803,0.6870212316341803
74.93215118777437,-1.6244547,-1.448374,0.6996246226754781,0.6996246226754781
75.14104992787624,-1.6267262,-1.448374,0.712228013716775,0.712228013716775
75.34994866797813,-1.6289976,-1.448374,0.724831404758073,0.724831404758073
